Cities,MAE,R2,Accuracy
Sydney,3.679504,0.1238071457094162,83.67279022932053
Melbourne,4.0718555,0.37728141380660074,79.14192378520966
Brisbane,3.1045892,0.29062629194720035,87.98324167728424
Perth,5.2491307,0.5521380010478346,77.94555276632309
Canberra,6.231891,0.3313502407760963,69.64035332202911
Adelaide,6.107522,0.3985163479700017,73.31683337688446
